x_value,total_1,total_2
980,2062,1586
39,1077,1028
1088,2031,1368
1742,2918,2061
1246,2252,1912
981,2061,1581
40,1079,1031
1089,2033,1366
1743,2916,2058
1247,2249,1907
982,2062,1587
41,1074,1033
1090,2040,1370
1744,2924,2054
1248,2257,1912
983,2067,1586
42,1080,1034
1091,2034,1367
1745,2920,2050
1249,2261,1914
984,2067,1586
43,1088,1037
1092,2030,1368
1746,2916,2051
1250,2258,1916
985,2066,1588
44,1095,1032
1093,2036,1374
1747,2915,2050
1251,2252,1919
986,2068,1583
45,1089,1030
1094,2035,1370
1748,2917,2049
1252,2252,1918
987,2073,1589
46,1083,1030
1095,2038,1376
1749,2917,2052
1253,2246,1919
988,2069,1585
47,1084,1032
1096,2039,1377
1750,2917,2047
1254,2254,1921
989,2072,1583
48,1078,1038
1097,2033,1376
1751,2915,2043
1255,2256,1918
990,2067,1582
49,1084,1034
1098,2041,1381
1752,2913,2043
1256,2254,1920
991,2071,1587
50,1092,1035
1099,2040,1383
1753,2913,2045
1257,2255,1920
992,2073,1583
51,1097,1039
1100,2036,1384
1754,2912,2048
1258,2260,1918
993,2071,1589
52,1102,1041
1101,2034,1389
1755,2915,2043
1259,2263,1915
994,2075,1586
53,1110,1047
1102,2036,1393
1756,2922,2040
1260,2267,1910
995,2069,1581
54,1114,1052
1103,2043,1395
1757,2926,2043
1261,2263,1905
996,2064,1585
55,1117,1053
1104,2039,1393
1758,2921,2046
1262,2261,1901
997,2064,1581
56,1118,1051
1105,2035,1396
1759,2918,2052
1263,2266,1896
998,2071,1577
57,1122,1056
1106,2043,1395
1760,2919,2052
1264,2262,1897
999,2077,1580
58,1119,1059
1107,2042,1391
1761,2920,2056
1265,2256,1903
1000,2080,1584
59,1126,1064
1108,2041,1387
1762,2923,2056
1266,2252,1906
1001,2074,1580
60,1120,1068
1109,2042,1388
1763,2918,2058
1267,2258,1905
1002,2076,1579
61,1117,1063
1110,2048,1393
1764,2914,2063
1268,2265,1901
1003,2079,1582
62,1112,1065
1111,2043,1389
1765,2918,2059
1269,2270,1905
1004,2078,1580
63,1120,1064
1112,2040,1389
1766,2914,2065
1270,2269,1900
1005,2076,1586
64,1128,1069
1113,2041,1395
1767,2913,2067
1271,2263,1901
1006,2077,1590
65,1127,1073
1114,2047,1391
1768,2918,2066
1272,2264,1901
1007,2081,1589
66,1129,1072
1115,2051,1392
1769,2914,2064
1273,2270,1896
1008,2078,1584
67,1127,1075
1116,2055,1387
1770,2921,2063
1274,2268,1897
1009,2081,1586
68,1121,1081
1117,2057,1386
1771,2928,2059
1275,2272,1893
1010,2077,1581
69,1116,1083
1118,2052,1382
1772,2923,2060
1276,2267,1889
1011,2072,1582
70,1122,1089
1119,2050,1383
1773,2927,2064
1277,2274,1891
1012,2078,1583
71,1118,1093
1120,2056,1386
1774,2929,2063
1278,2269,1892
1013,2074,1585
72,1118,1091
1121,2060,1388
1775,2933,2061
1279,2269,1892
1014,2068,1581
73,1124,1095
1122,2061,1388
1776,2936,2060
1280,2276,1897
1015,2062,1586
74,1126,1090
1123,2065,1392
1777,2933,2058
1281,2277,1895
1016,2063,1590
75,1124,1090
1124,2067,1392
1778,2933,2064
1282,2275,1900
1017,2065,1587
76,1124,1092
1125,2062,1395
1779,2929,2065
1283,2275,1903
1018,2069,1589
77,1124,1095
1126,2063,1397
1780,2928,2067
1284,2277,1907
1019,2066,1595
78,1131,1092
1127,2067,1397
1781,2923,2067
1285,2281,1903
1020,2074,1590
79,1126,1088
1128,2064,1400
1782,2928,2073
1286,2278,1902
1021,2075,1589
80,1128,1084
1129,2071,1403
1783,2933,2074
1287,2275,1898
1022,2078,1584
81,1135,1082
1130,2071,1404
1784,2930,2080
1288,2270,1900
1023,2086,1582
82,1135,1086
1131,2077,1410
1785,2929,2078
1289,2276,1906
1024,2085,1588
83,1131,1085
1132,2085,1413
1786,2931,2082
1290,2275,1901
1025,2093,1585
84,1130,1082
1133,2087,1409
1787,2932,2084
1291,2276,1907
1026,2088,1580
85,1133,1078
1134,2091,1415
1788,2926,2086
1292,2281,1906
1027,2086,1581
86,1130,1081
1135,2091,1410
1789,2928,2086
1293,2281,1906
1028,2084,1577
87,1124,1076
1136,2090,1407
1790,2929,2082
1294,2289,1907
1029,2088,1576
88,1132,1080
1137,2096,1407
1791,2926,2084
1295,2295,1905
1030,2082,1574
89,1136,1084
1138,2098,1408
1792,2921,2089
1296,2294,1903
1031,2088,1574
90,1133,1083
1139,2093,1405
1793,2916,2095
1297,2299,1901
1032,2082,1572
91,1135,1079
1140,2093,1403
1794,2922,2090
1298,2299,1899
1033,2082,1567
92,1142,1075
1141,2088,1401
1795,2924,2088
1299,2293,1898
1034,2081,1567
93,1136,1072
1142,2088,1401
1796,2923,2084
1300,2300,1897
1035,2087,1562
94,1138,1068
1143,2089,1396
1797,2928,2082
1301,2304,1903
1036,2095,1566
95,1146,1067
1144,2092,1399
1798,2929,2085
1302,2304,1907
1037,2090,1569
96,1147,1070
1145,2091,1399
1799,2931,2085
1303,2298,1904
1038,2097,1565
97,1141,1076
1146,2085,1396
1800,2927,2081
1304,2305,1905
1039,2094,1569
98,1135,1079
1147,2085,1401
1801,2930,2084
1305,2312,1904
1040,2100,1566
99,1142,1078
1148,2081,1398
1802,2930,2086
1306,2310,1900
1041,2098,1562
100,1141,1078
1149,2088,1404
1803,2928,2090
1307,2310,1895
1042,2093,1568
101,1144,1078
1150,2095,1399
1804,2923,2089
1308,2307,1892
1043,2099,1571
102,1140,1076
1151,2097,1397
1805,2929,2091
1309,2308,1892
1044,2093,1572
103,1137,1078
1152,2099,1396
1806,2930,2088
1310,2304,1894
1045,2095,1576
104,1132,1084
1153,2096,1394
1807,2937,2087
1311,2308,1892
1046,2099,1580
105,1130,1089
1154,2091,1397
1808,2931,2082
1312,2311,1894
1047,2099,1583
106,1128,1092
1155,2085,1395
1809,2936,2082
1313,2316,1899
1048,2099,1580
107,1133,1098
1156,2088,1393
1810,2934,2082
1314,2322,1894
1049,2103,1577
108,1135,1101
1157,2091,1397
1811,2932,2087
1315,2321,1897
1050,2099,1576
109,1129,1100
1158,2093,1401
1812,2930,2082
1316,2327,1893
1051,2100,1577
110,1132,1099
1159,2093,1398
1813,2930,2085
1317,2329,1898
1052,2102,1577
111,1128,1105
1160,2097,1402
1814,2932,2081
1318,2337,1904
1053,2104,1577
112,1122,1107
1161,2098,1401
1815,2935,2083
1319,2331,1907
1054,2111,1576
113,1123,1110
1162,2104,1403
1816,2941,2089
1320,2337,1912
1055,2116,1582
114,1131,1108
1163,2098,1407
1817,2947,2088
1321,2335,1913
1056,2120,1581
115,1126,1111
1164,2100,1404
1818,2955,2083
1322,2342,1913
1057,2119,1578
116,1128,1106
1165,2105,1403
1819,2962,2082
1323,2348,1914
1058,2125,1575
117,1131,1105
1166,2104,1408
1820,2963,2087
1324,2346,1909
1059,2121,1577
118,1139,1101
1167,2107,1405
1821,2966,2087
1325,2344,1907
1060,2128,1579
119,1145,1102
1168,2112,1407
1822,2962,2085
1326,2342,1903
1061,2132,1575
120,1143,1100
1169,2115,1402
1823,2968,2080
1327,2342,1909
1062,2140,1577
121,1138,1102
1170,2111,1399
1824,2974,2085
1328,2343,1915
122,1133,1107

1171,2116,1396
1825,2979,2082
1329,2346,1913
123,1137,1113
1064,2141,1579
1172,2116,1402
1826,2973,2077
1330,2350,1910
124,1140,1113
1065,2138,1577
1173,2123,1399
1827,2971,2076
1331,2358,1913
125,1146,1115
1066,2143,1572
1174,2128,1397
1828,2975,2082
1332,2356,1910
126,1152,1115
1067,2144,1567
1175,2134,1392
1829,2983,2082
1333,2356,1905
1068,2147,1568
127,1146,1110
1176,2133,1395
1830,2987,2085
1334,2361,1910
128,1152,1113
1069,2141,1566
1177,2138,1390
1831,2990,2087
1335,2363,1911
1070,2136,1564
1178,2145,1392
1832,2984,2088
1336,2366,1914
130,1150,1121
1071,2140,1561
1179,2145,1390
1833,2979,2085
1337,2371,1917
131,1144,1125
1072,2135,1566
1180,2153,1390
1834,2979,2084
1338,2365,1922
1073,2143,1572
132,1145,1121
1181,2156,1392
1835,2986,2084
1339,2366,1917
1074,2147,1578
133,1142,1127
1182,2157,1397
1836,2989,2088
1340,2370,1919
1075,2141,1576
134,1138,1129
1183,2158,1397
1837,2993,2087
1341,2369,1921
1076,2138,1578
135,1136,1135
1184,2155,1403
1838,2990,2084
1342,2374,1927
136,1142,1134
1077,2144,1576
1185,2162,1407
1839,2992,2084
1343,2371,1931
137,1139,1130
1078,2138,1575
1186,2170,1409
1840,2993,2086
1344,2371,1926
138,1143,1127
1079,2141,1570
1187,2170,1409
1841,2987,2087
1345,2366,1928
1080,2147,1573
139,1138,1123
1188,2169,1415
1842,2985,2085
1346,2371,1924
1081,2143,1572
140,1141,1121
1189,2164,1414
1843,2985,2086
1347,2374,1927
1082,2139,1568
141,1136,1120
1190,2170,1409
1844,2979,2088
1348,2373,1922
1083,2139,1573
142,1136,1123
1191,2167,1407
1845,2979,2084
1349,2374,1928
1084,2133,1576
143,1133,1126
1192,2162,1402
1846,2980,2081
1350,2374,1930
1085,2140,1581
144,1129,1121
1193,2157,1400
1847,2974,2080
1351,2372,1930
1086,2140,1582
145,1135,1126
1194,2159,1402
1848,2975,2085
1352,2377,1935
1087,2141,1579
146,1137,1132
1195,2161,1403
1849,2971,2089
1353,2371,1938
1088,2138,1582
147,1134,1130
1196,2165,1406
1850,2977,2092
1354,2376,1934
1089,2134,1585
148,1139,1129
1197,2163,1408
1851,2975,2089
1355,2380,1934
1090,2132,1587
149,1142,1126
1198,2161,1407
1852,2977,2092
1356,2380,1931
1091,2129,1588
150,1149,1129
1199,2162,1413
1853,2977,2091
1357,2381,1929
1092,2128,1589
151,1145,1129
1200,2165,1409
1854,2980,2090
1358,2376,1933
152,1153,1134
1093,2136,1585
1201,2171,1407
1855,2978,2087
1359,2374,1933
153,1160,1132
1094,2140,1590
1202,2166,1409
1856,2978,2084
1360,2372,1933
154,1157,1128
1095,2135,1596
1203,2163,1411
1857,2975,2081
1361,2367,1931
155,1161,1126
1096,2132,1592
1204,2166,1415
1858,2970,2080
1362,2366,1930
156,1160,1132
1097,2131,1597
1205,2166,1414
1859,2974,2078
1363,2373,1936
157,1164,1133
1098,2136,1596
1206,2161,1414
1860,2970,2075
1364,2381,1939
158,1170,1130
1099,2144,1598
1207,2164,1419
1861,2978,2078
1365,2389,1938
159,1172,1128
1100,2148,1600
1208,2163,1425
1862,2986,2078
1366,2384,1943
160,1180,1134
1101,2142,1595
1209,2158,1420
1863,2990,2080
1367,2382,1946
161,1180,1136
1102,2145,1596
1210,2157,1425
1864,2991,2078
1368,2376,1949
162,1183,1135
1103,2150,1592
1211,2165,1431
1865,2995,2073
1369,2374,1949
163,1177,1140
1104,2151,1593
1212,2160,1433
1866,3003,2077
1370,2374,1954
164,1176,1146
1105,2155,1593
1213,2168,1434
1867,3008,2079
1371,2374,1957
165,1179,1147
1106,2152,1598
1214,2170,1440
1868,3004,2079
1372,2379,1955
166,1185,1150

1215,2178,1440
1869,3000,2078
1373,2382,1957
1108,2149,1592
167,1192,1150
1216,2175,1444
1870,2997,2084
1374,2389,1952
1109,2143,1595
168,1197,1153
1217,2179,1443
1871,2997,2088
1375,2391,1951
1110,2146,1601
169,1204,1154
1218,2177,1440
1872,2998,2087
1376,2385,1950
1111,2153,1600
170,1198,1156
1219,2178,1438
1873,2996,2086
1377,2379,1948
1112,2156,1604
171,1202,1161
1220,2183,1440
1874,2992,2088
1378,2373,1947
1113,2157,1603
172,1210,1160
1221,2190,1437
1875,2997,2083
1379,2370,1943
1114,2160,1604
173,1204,1156
1222,2192,1443
1876,2998,2087
1380,2369,1938
1115,2168,1605
174,1206,1153
1223,2195,1448
1877,2992,2089
1381,2369,1938
1116,2166,1610
175,1202,1158
1224,2195,1449
1878,2993,2089
1382,2377,1944
1117,2173,1609
176,1200,1156
1225,2193,1447
1879,2991,2084
1383,2381,1947
1118,2172,1607
177,1203,1154
1226,2198,1453
1880,2998,2080
1384,2389,1953
1119,2176,1608
178,1209,1155
1227,2197,1459
1881,3004,2076
1385,2392,1955
1120,2170,1605
179,1216,1151
1228,2192,1454
1882,3012,2081
1386,2394,1960
1121,2168,1601
180,1219,1150
1229,2199,1456
1883,3019,2082
1387,2397,1956
181,1219,1154

1230,2196,1453
1884,3016,2085
1388,2395,1962
1123,2178,1604
182,1227,1157
1231,2202,1450
1885,3019,2086
1389,2389,1963
1124,2186,1607
1232,2197,1453
1886,3015,2090
1390,2393,1962
184,1228,1158

1233,2202,1450
1887,3013,2096
1391,2393,1963
185,1230,1164
1126,2193,1615
1234,2210,1453
1888,3010,2092
1392,2390,1969
1127,2197,1611
1235,2211,1453
1889,3012,2096
1393,2392,1965
187,1232,1167

1236,2219,1456
1890,3015,2099
1394,2390,1970
1129,2198,1608
188,1237,1170
1237,2225,1451
1891,3013,2100
1395,2388,1969
1130,2201,1605
189,1235,1172
1238,2233,1457
1892,3018,2100
1396,2388,1966
1131,2204,1608
190,1243,1177
1239,2238,1457
1893,3018,2103
1397,2394,1961
191,1239,1178
1132,2206,1614
1240,2240,1457
1894,3016,2104
1398,2398,1960
192,1238,1173
1133,2210,1619
1241,2244,1457
1895,3011,2105
1399,2402,1957
1134,2212,1619
193,1239,1169
1242,2245,1457
1896,3015,2109
1400,2402,1962
1135,2208,1615
194,1235,1170
1243,2250,1463
1897,3010,2107
1401,2409,1968
195,1239,1170
1136,2210,1621
1244,2249,1469
1898,3013,2109
1402,2417,1973
196,1243,1166

1245,2244,1472
1899,3008,2112
1403,2412,1971
197,1242,1170
1138,2218,1614
1246,2246,1467
1900,3015,2116
1404,2418,1976
198,1236,1173
1139,2223,1619
1247,2247,1462
1901,3021,2117
1405,2422,1976
199,1238,1179

1248,2249,1458
1902,3029,2113
1406,2423,1981
1141,2224,1621
200,1240,1174
1249,2254,1460
1903,3025,2108
1407,2429,1986
1142,2223,1627
201,1243,1170
1904,3022,2107
1250,2249,1456
1408,2424,1983
1143,2229,1623
202,1239,1171
1905,3020,2107
1251,2254,1462
1409,2425,1987
1144,2236,1622
203,1243,1176
1906,3027,2113
1252,2260,1467
1410,2426,1993
1145,2232,1625
204,1243,1181
1907,3035,2113
1253,2256,1470
1411,2425,1993
1146,2236,1623
205,1241,1182
1908,3035,2116
1254,2261,1473
1412,2422,1991
1147,2231,1628
206,1245,1180
1255,2261,1478
1909,3041,2121
1413,2428,1988
1148,2234,1626
207,1244,1177
1256,2263,1481
1910,3043,2125
1414,2431,1986
1149,2234,1628
208,1241,1183
1257,2257,1478
1911,3042,2125
1415,2438,1983
1150,2241,1627
209,1249,1187
1258,2254,1476
1912,3046,2121
1416,2434,1988
1151,2242,1623
210,1254,1185
1259,2260,1471
1913,3045,2120
1417,2440,1989
1152,2250,1627
211,1250,1191
1260,2257,1468
1914,3046,2124
1418,2439,1992
1153,2256,1632
212,1249,1195
1261,2265,1464
1915,3046,2125
1419,2441,1995
1154,2250,1633
213,1253,1197
1262,2270,1468
1916,3052,2127
1420,2439,2000
1155,2247,1639
214,1250,1198
1263,2267,1473
1917,3050,2133
1421,2446,1997
1156,2245,1644
215,1252,1194
1264,2268,1469
1918,3054,2132
1422,2443,1994
1157,2246,1645
216,1252,1194
1265,2275,1473
1919,3058,2135
1423,2448,1995
1158,2241,1646
217,1251,1192
1266,2275,1468
1920,3059,2139
1424,2452,1998
1159,2246,1648
218,1252,1188
1267,2280,1469
1921,3065,2135
1425,2454,1999
1160,2254,1652
219,1257,1193
1268,2285,1475
1922,3066,2139
1426,2451,2004
1161,2258,1657
220,1253,1198
1269,2291,1471
1923,3074,2136
1427,2453,2008
1162,2257,1657
221,1249,1201
1270,2298,1472
1924,3074,2140
1428,2454,2006
1163,2264,1653
222,1250,1204
1271,2305,1473
1925,3073,2140
1429,2458,2003
1164,2266,1653
223,1253,1207
1926,3078,2141
1430,2461,2003
1165,2262,1649
224,1248,1211
1927,3072,2141
1273,2298,1476
1431,2468,1999
1166,2266,1653
225,1256,1210
1928,3077,2138
1432,2462,2000
1167,2261,1652
226,1259,1205
1929,3072,2137
1275,2305,1474
1433,2467,2006
1168,2257,1647
227,1263,1206
1930,3069,2142
1276,2310,1474
1434,2462,2004
1169,2260,1644
228,1265,1211
1931,3066,2144
1277,2312,1479
1435,2466,2005
1170,2255,1639
229,1263,1207
1278,2318,1485
1436,2462,2003
1171,2259,1637
230,1267,1208
1279,2317,1481
1437,2466,2003
1172,2259,1642
231,1275,1207
1280,2319,1480
1934,3068,2142
1438,2463,2007
1173,2265,1646
232,1272,1202
1281,2327,1484
1935,3075,2139
1439,2461,2005
1174,2273,1647
233,1279,1202
1936,3082,2143
1282,2324,1487
1440,2462,2005
1175,2275,1649
234,1286,1198
1283,2329,1489
1937,3087,2147
1441,2457,2008
1176,2273,1653
235,1291,1200
1284,2326,1495
1938,3087,2152
1442,2451,2005
1177,2278,1659
236,1285,1198
1285,2329,1499
1939,3082,2147
1443,2456,2004
1178,2283,1656
237,1282,1195
1940,3086,2149
1444,2460,2000
1179,2278,1653
238,1287,1195
1941,3090,2155
1287,2334,1492
1445,2465,2005
1180,2282,1656
239,1288,1198
1288,2333,1497
1942,3087,2151
1446,2471,2001
1181,2288,1662
240,1285,1199
1943,3084,2148
1447,2470,1997
1182,2287,1661
241,1283,1198
1290,2330,1507
1944,3078,2154
1448,2467,1993
1183,2295,1664
242,1283,1201
1291,2333,1503
1945,3085,2159
1449,2464,1996
1184,2289,1668
243,1289,1205
1946,3080,2160
1450,2460,1995
1185,2292,1674
244,1288,1203
1293,2328,1514
1451,2466,2000
1186,2288,1671
245,1292,1205
1948,3074,2159
1294,2334,1511
1452,2469,1999
1187,2286,1673
246,1300,1201
1295,2331,1507
1949,3080,2159
1453,2465,1999
1188,2284,1678
247,1306,1206
1950,3081,2164
1454,2473,2001
1189,2285,1684
248,1302,1202
1951,3087,2160
1297,2341,1510
1455,2479,2003
1190,2287,1679
249,1301,1199
1952,3094,2162
1298,2336,1511
1456,2477,2006
1191,2289,1680
250,1300,1205
1953,3090,2165
1299,2343,1513
1457,2478,2003
1192,2291,1677
251,1296,1208
1954,3097,2167
1300,2337,1517
1458,2481,2009
1193,2299,1672
252,1304,1211
1955,3096,2171
1301,2339,1522
1459,2478,2005
1194,2304,1669
253,1309,1217
1956,3096,2175
1302,2343,1525
1460,2473,2006
1195,2307,1674
254,1312,1218
1957,3101,2173
1303,2338,1520
1461,2480,2011
1196,2313,1672
255,1311,1224
1958,3096,2174
1462,2479,2017
1197,2311,1672
256,1309,1220
1959,3094,2176
1305,2330,1518
1463,2477,2013
1198,2308,1673
257,1308,1221
1960,3099,2172
1306,2337,1518
1464,2481,2010
1199,2311,1674
258,1308,1220
1307,2345,1524
1961,3094,2170
1465,2481,2010
1200,2308,1678
259,1315,1224
1308,2349,1522
1962,3095,2165
1466,2486,2007
1201,2314,1680
260,1322,1229
1309,2345,1523
1963,3095,2163
1467,2488,2004
1202,2310,1682
261,1323,1230
1310,2348,1524
1964,3096,2167
1468,2484,2005
1203,2314,1679
262,1330,1228
1311,2348,1522
1469,2492,2009
1204,2308,1683
263,1327,1234
1966,3086,2167
1312,2344,1523
1470,2498,2010
1205,2310,1681
264,1331,1233
1967,3087,2162
1313,2351,1527
1471,2499,2009
1206,2313,1685
265,1328,1239
1314,2347,1531
1968,3083,2159
1472,2507,2014
1207,2321,1691
266,1330,1245
1315,2344,1527
1969,3082,2160
1473,2507,2015
1208,2329,1693
267,1324,1241
1970,3077,2158
1316,2344,1529
1474,2511,2020
1209,2334,1693
268,1325,1242
1317,2349,1535
1971,3073,2153
1475,2514,2024
1210,2331,1693
269,1320,1242
1972,3072,2150
1476,2508,2019
1211,2325,1694
270,1320,1242
1319,2356,1528
1477,2505,2024
1212,2319,1700
271,1328,1245
1974,3068,2144
1320,2355,1526
1478,2513,2021
1213,2322,1696
272,1331,1240
1975,3062,2145
1321,2350,1530
1479,2510,2021
1214,2317,1695
273,1327,1236
1322,2357,1530
1976,3069,2140
1480,2515,2023
1215,2314,1698
274,1327,1240
1977,3065,2143
1481,2510,2020
1216,2318,1697
275,1334,1241
1978,3068,2143
1324,2349,1526
1482,2518,2016
1217,2316,1703
276,1337,1247
1979,3066,2149
1325,2348,1521
1483,2512,2022
1218,2317,1701
277,1341,1251
1326,2353,1517
1980,3071,2154
1484,2513,2020
1219,2322,1699
278,1340,1251
1327,2360,1523
1981,3067,2158
1485,2510,2024
1220,2326,1696
279,1339,1253
1328,2354,1524
1982,3074,2164
1486,2518,2029
1221,2329,1695
280,1333,1254
1329,2355,1526
1983,3071,2168
1487,2514,2024
1222,2323,1692
281,1327,1259
1984,3065,2164
1488,2521,2019
1223,2324,1691
282,1329,1265
1331,2364,1524
1985,3069,2159
1489,2520,2025
1224,2324,1686
283,1335,1265
1332,2364,1529
1986,3075,2159
1490,2527,2026
1225,2329,1681
284,1332,1261
1987,3077,2164
1333,2363,1525
1491,2528,2027
1226,2325,1677
285,1332,1263
1988,3079,2162
1334,2365,1526
1492,2525,2029
1227,2326,1682
286,1331,1264
1989,3078,2162
1335,2367,1523
1493,2527,2024
1228,2322,1679
287,1333,1269
1990,3074,2157
1494,2523,2023
1229,2325,1677
288,1337,1270
1991,3076,2154
1337,2367,1524
1495,2519,2025
1230,2328,1672
289,1344,1273
1992,3083,2153
1338,2363,1520
1496,2522,2024
1231,2335,1675
290,1344,1271
1339,2364,1516
1993,3091,2155
1497,2526,2023
1232,2330,1675
291,1345,1272
1340,2370,1511
1994,3092,2156
1498,2530,2021
1233,2327,1674
292,1344,1273
1995,3094,2151
1341,2364,1507
1499,2524,2027
1234,2331,1670
293,1352,1274
1996,3101,2155
1342,2359,1506
1500,2525,2032
1235,2325,1670
294,1356,1274
1997,3103,2152
1343,2357,1511
1501,2524,2034
1236,2323,1674
295,1360,1271
1998,3101,2147
1344,2362,1515
1502,2518,2036
1237,2321,1678
296,1360,1277
1345,2367,1510
1999,3100,2152
1503,2519,2042
1238,2326,1681
297,1359,1283
1346,2362,1507
2000,3104,2150
1504,2519,2041
1239,2326,1683
298,1362,1279
1347,2367,1508
2001,3103,2156
1505,2526,2036
1240,2322,1679
299,1363,1281
1348,2368,1510
2002,3104,2161
1506,2527,2035
1241,2325,1677
300,1368,1284
1349,2371,1510
2003,3098,2160
1507,2522,2032
1242,2319,1682
301,1370,1281
1350,2369,1505
2004,3106,2158
1508,2528,2030
1243,2320,1686
302,1367,1284
1351,2368,1502
2005,3100,2157
1509,2534,2031
1244,2321,1684
303,1371,1282
1352,2374,1504
2006,3106,2162
1510,2531,2036
1245,2318,1679
304,1369,1278
1353,2370,1504
2007,3108,2167
1511,2533,2036
1246,2315,1680
305,1366,1281
1354,2378,1503
1512,2536,2035
1247,2311,1683
306,1373,1276
2009,3118,2161
1355,2374,1506
1513,2542,2040
1248,2313,1683
307,1373,1277
2010,3120,2156
1356,2372,1505
1514,2550,2037
1249,2307,1686
308,1380,1279
2011,3123,2151
1357,2366,1510
1515,2547,2040
1250,2312,1684
309,1377,1284
2012,3121,2151
1358,2360,1507
1516,2546,2043
1251,2317,1687
310,1381,1287
2013,3116,2149
1359,2361,1508
1517,2544,2042
1252,2313,1691
311,1379,1290
1360,2362,1510
1518,2552,2044
1253,2321,1697
312,1376,1285
2015,3111,2145
1361,2360,1505
1519,2559,2044
1254,2323,1695
313,1373,1289
2016,3110,2150
1362,2361,1508
1520,2560,2043
1255,2318,1701
314,1374,1289
1363,2357,1504
1521,2564,2048
1256,2324,1705
315,1370,1285
2018,3117,2149
1364,2361,1504
1522,2569,2049
1257,2323,1707
316,1366,1282
1365,2361,1499
2019,3124,2152
1523,2567,2051
1258,2327,1712
317,1374,1284
1366,2363,1497
2020,3130,2147
1524,2564,2056
1259,2323,1718
318,1373,1287
1367,2360,1499
2021,3129,2148
1525,2562,2055
1260,2326,1717
319,1376,1282
1368,2365,1504
2022,3123,2143
1526,2563,2056
1261,2321,1720
320,1384,1277
1369,2361,1500
2023,3126,2138
1527,2569,2057
1262,2316,1726
321,1383,1274
1370,2356,1501
2024,3133,2134
1528,2570,2061
1263,2314,1724
322,1379,1273
2025,3137,2139
1529,2573,2067
1264,2322,1729
323,1384,1270
1372,2360,1506
2026,3134,2134
1530,2574,2068
1265,2327,1725
324,1382,1272
1373,2367,1509
2027,3141,2138
1531,2569,2070
